Date,Period,number1,number2,number3,sale_amount,reward ratio
2019-04-04,2019087,1,7,4,"47,399,486", 81.86%
2019-04-03,2019086,2,8,3,"47,203,552", 95.27%
2019-04-02,2019085,5,0,5,"48,891,036", 73.58%
2019-04-01,2019084,9,7,8,"49,081,774", 29.54%
2019-03-31,2019083,9,8,2,"47,498,944", 75.65%
2019-03-30,2019082,8,7,1,"45,627,074", 67.41%
2019-03-29,2019081,4,3,1,"50,828,932", 14.40%
2019-03-28,2019080,3,4,1,"50,281,808", 38.94%
2019-03-27,2019079,5,3,9,"48,806,580", 82.26%
2019-03-26,2019078,0,4,6,"48,361,984", 28.22%
2019-03-25,2019077,9,7,2,"46,866,200", 39.15%
2019-03-24,2019076,0,0,5,"47,609,682", 28.63%
2019-03-23,2019075,0,1,2,"46,928,902", 42.58%
2019-03-22,2019074,2,6,5,"48,378,740", 149.01%
2019-03-21,2019073,3,3,0,"48,488,086", 30.13%
2019-03-20,2019072,5,2,1,"46,671,402", 62.47%
2019-03-19,2019071,0,0,6,"49,722,366", 24.81%
2019-03-18,2019070,7,9,8,"48,176,652", 37.44%
2019-03-17,2019069,8,7,6,"48,126,130", 62.79%
2019-03-16,2019068,4,4,1,"46,801,354", 32.29%
2019-03-15,2019067,4,8,8,"52,317,110", 35.37%
2019-03-14,2019066,3,0,8,"50,120,526", 46.60%
2019-03-13,2019065,0,3,2,"50,931,030", 31.24%
2019-03-12,2019064,5,8,7,"49,006,828", 111.67%
2019-03-11,2019063,9,7,1,"47,944,518", 65.54%
2019-03-10,2019062,4,0,8,"47,564,392", 34.75%
2019-03-09,2019061,0,9,4,"46,104,406", 41.68%
2019-03-08,2019060,4,1,1,"50,349,406", 43.53%
2019-03-07,2019059,1,4,0,"48,640,070", 29.14%
2019-03-06,2019058,0,2,0,"53,446,952", 38.83%
2019-03-05,2019057,7,6,0,"54,926,416", 117.27%
2019-03-04,2019056,6,3,9,"54,185,678", 47.31%
2019-03-03,2019055,1,2,8,"53,168,456", 46.27%
2019-03-02,2019054,8,4,9,"52,397,900", 29.55%
2019-03-01,2019053,1,3,6,"53,156,228", 71.48%
2019-02-28,2019052,5,2,7,"50,212,768", 72.05%
2019-02-27,2019051,0,1,3,"51,062,468", 23.01%
2019-02-26,2019050,9,4,8,"50,755,350", 27.69%
2019-02-25,2019049,8,0,1,"50,233,986", 58.57%
2019-02-24,2019048,3,2,6,"49,340,138", 40.53%
2019-02-23,2019047,9,2,3,"48,294,426", 51.60%
2019-02-22,2019046,1,4,5,"50,222,594", 83.88%
2019-02-21,2019045,3,5,7,"45,795,900", 70.23%
2019-02-20,2019044,0,2,0,"48,140,768", 33.17%
2019-02-19,2019043,0,9,6,"46,978,968", 57.96%
2019-02-18,2019042,5,7,9,"46,882,892", 84.82%
2019-02-17,2019041,4,2,8,"43,981,358", 45.04%
2019-02-16,2019040,7,5,4,"45,593,438", 15.86%
2019-02-15,2019039,7,5,4,"45,119,860", 40.36%
2019-02-14,2019038,9,8,8,"43,858,980", 65.11%
2019-02-13,2019037,7,5,6,"41,579,140", 54.13%
2019-02-12,2019036,4,3,4,"39,041,950", 35.34%
2019-02-11,2019035,8,8,8,"38,262,214", 203.56%
2019-02-03,2019034,6,6,7,"47,118,920", 45.54%
2019-02-02,2019033,2,0,7,"48,970,120", 35.91%
2019-02-01,2019032,1,6,1,"52,965,358", 35.55%
2019-01-31,2019031,7,9,3,"51,268,986", 56.37%
2019-01-30,2019030,2,8,0,"50,739,814", 43.66%
2019-01-29,2019029,5,4,6,"51,283,488", 63.15%
2019-01-28,2019028,7,4,1,"50,153,656", 43.66%
2019-01-27,2019027,3,0,1,"50,835,954", 56.16%
2019-01-26,2019026,5,9,4,"48,259,222", 118.71%
2019-01-25,2019025,2,3,7,"50,888,312", 35.37%
2019-01-24,2019024,6,3,7,"50,354,586", 41.10%
2019-01-23,2019023,7,6,7,"50,947,288", 32.64%
2019-01-22,2019022,1,7,3,"49,831,492", 60.60%
2019-01-21,2019021,0,8,8,"50,587,058", 37.24%
2019-01-20,2019020,4,2,8,"48,984,718", 85.85%
2019-01-19,2019019,7,9,7,"50,363,970", 35.50%
2019-01-18,2019018,1,4,2,"52,358,720", 38.99%
2019-01-17,2019017,5,5,9,"50,784,508", 64.57%
2019-01-16,2019016,6,8,3,"50,427,124", 104.52%
2019-01-15,2019015,2,3,0,"50,807,796", 35.26%
2019-01-14,2019014,7,9,4,"48,824,900", 48.35%
2019-01-13,2019013,9,1,0,"48,408,048", 60.46%
2019-01-12,2019012,1,3,1,"49,444,204", 30.09%
2019-01-11,2019011,2,6,6,"51,386,462", 94.75%
2019-01-10,2019010,5,3,8,"49,282,480", 92.96%
2019-01-09,2019009,7,4,6,"47,825,002", 50.93%
2019-01-08,2019008,5,8,7,"47,295,692", 50.25%
2019-01-07,2019007,3,7,0,"46,849,816", 42.25%
2019-01-06,2019006,7,5,5,"48,141,258", 30.46%
2019-01-05,2019005,5,0,1,"47,636,854", 47.35%
2019-01-04,2019004,1,1,8,"49,369,934", 79.78%
2019-01-03,2019003,4,3,5,"47,257,462", 63.57%
2019-01-02,2019002,2,7,2,"46,925,192", 43.01%
2019-01-01,2019001,6,4,4,"47,676,292", 26.19%
2018-12-31,2018358,3,2,9,"48,351,522", 76.51%
2018-12-30,2018357,1,4,7,"44,782,100", 123.08%
2018-12-29,2018356,6,1,1,"46,518,202", 63.39%
2018-12-28,2018355,7,8,7,"49,924,886", 41.39%
2018-12-27,2018354,6,0,9,"48,788,656", 40.62%
2018-12-26,2018353,5,8,9,"49,919,826", 41.97%
2018-12-25,2018352,5,4,2,"49,768,222", 33.23%
2018-12-24,2018351,1,5,6,"49,047,412", 57.98%
2018-12-23,2018350,3,2,2,"51,214,024", 31.93%
2018-12-22,2018349,8,2,1,"49,960,112", 42.36%
2018-12-21,2018348,4,6,9,"53,060,898", 45.49%
2018-12-20,2018347,5,1,3,"50,501,368", 104.42%
2018-12-19,2018346,1,8,6,"49,926,526", 60.21%
2018-12-18,2018345,6,9,2,"49,005,036", 46.13%
2018-12-17,2018344,3,9,7,"47,549,156", 33.01%
2018-12-16,2018343,0,5,2,"47,214,380", 46.06%
2018-12-15,2018342,4,9,7,"44,585,320", 61.13%
2018-12-14,2018341,7,9,9,"47,134,494", 69.44%
2018-12-13,2018340,7,9,8,"47,858,652", 44.30%
2018-12-12,2018339,7,7,4,"47,931,300", 54.54%
2018-12-11,2018338,1,7,8,"48,470,754", 45.62%
2018-12-10,2018337,7,3,1,"46,142,278", 62.66%
2018-12-09,2018336,9,0,6,"45,413,814", 47.29%
2018-12-08,2018335,4,0,7,"43,838,518", 102.61%
2018-12-07,2018334,3,4,9,"45,235,928", 41.39%
2018-12-06,2018333,2,8,8,"46,001,896", 28.42%
2018-12-05,2018332,3,8,8,"47,222,732", 37.32%
2018-12-04,2018331,1,0,8,"46,106,776", 71.80%
2018-12-03,2018330,1,7,1,"48,640,634", 30.68%
2018-12-02,2018329,1,6,5,"48,216,414", 88.31%
2018-12-01,2018328,4,8,1,"47,194,828", 29.94%
2018-11-30,2018327,4,3,2,"49,643,258", 62.24%
2018-11-29,2018326,4,5,4,"49,987,750", 52.75%
2018-11-28,2018325,0,6,1,"50,077,944", 48.93%
2018-11-27,2018324,3,1,9,"49,067,454", 66.43%
2018-11-26,2018323,9,2,4,"47,763,676", 90.32%
2018-11-25,2018322,1,3,0,"48,307,536", 31.54%
2018-11-24,2018321,8,3,7,"46,865,038", 69.01%
2018-11-23,2018320,5,6,5,"50,138,830", 52.79%
2018-11-22,2018319,2,1,6,"47,154,638", 48.03%
2018-11-21,2018318,8,7,0,"47,272,172", 17.58%
2018-11-20,2018317,2,0,3,"47,012,864", 30.50%
2018-11-19,2018316,7,0,8,"46,744,748", 56.35%
2018-11-18,2018315,0,8,8,"47,184,822", 32.90%
2018-11-17,2018314,7,8,7,"50,184,776", 84.43%
2018-11-16,2018313,2,8,9,"51,728,128", 36.82%
2018-11-15,2018312,2,5,6,"49,195,538", 76.88%
2018-11-14,2018311,0,8,1,"49,996,742", 17.59%
2018-11-13,2018310,3,4,7,"48,009,014", 69.09%
2018-11-12,2018309,3,8,0,"49,241,864", 28.52%
2018-11-11,2018308,6,8,2,"47,630,438", 64.97%
2018-11-10,2018307,8,3,7,"47,068,928", 63.40%
2018-11-09,2018306,3,1,6,"48,680,642", 81.76%
2018-11-08,2018305,8,4,5,"47,366,966", 35.85%
2018-11-07,2018304,3,4,0,"46,799,412", 22.58%
2018-11-06,2018303,8,1,0,"46,863,504", 42.21%
2018-11-05,2018302,8,8,3,"46,494,328", 35.42%
2018-11-04,2018301,9,2,6,"44,546,232", 43.72%
2018-11-03,2018300,7,7,7,"44,400,944", 135.40%
2018-11-02,2018299,3,3,1,"43,317,192", 52.50%
2018-11-01,2018298,1,1,1,"48,015,456", 232.35%
2018-10-31,2018297,2,8,9,"47,669,534", 35.53%
2018-10-30,2018296,8,8,1,"47,868,556", 40.18%
2018-10-29,2018295,5,1,3,"48,851,614", 24.09%
2018-10-28,2018294,5,3,7,"45,274,554", 68.69%
2018-10-27,2018293,8,9,5,"45,026,612", 37.05%
2018-10-26,2018292,9,2,2,"48,928,854", 47.69%
2018-10-25,2018291,9,3,5,"47,671,764", 29.23%
2018-10-24,2018290,0,3,6,"48,095,156", 46.78%
2018-10-23,2018289,9,5,4,"47,219,782", 30.22%
2018-10-22,2018288,3,4,4,"49,720,348", 44.75%
2018-10-21,2018287,3,8,7,"48,676,610", 69.82%
2018-10-20,2018286,6,9,1,"47,676,548", 73.34%
2018-10-19,2018285,9,8,2,"49,663,384", 64.20%
2018-10-18,2018284,6,3,4,"48,133,660", 52.55%
2018-10-17,2018283,5,5,8,"48,142,000", 86.48%
2018-10-16,2018282,6,1,7,"47,475,964", 49.55%
2018-10-15,2018281,9,4,7,"46,093,830", 70.18%
2018-10-14,2018280,6,6,9,"46,954,364", 39.47%
2018-10-13,2018279,3,7,5,"45,541,042", 76.00%
2018-10-12,2018278,5,6,3,"47,465,790", 49.90%
2018-10-11,2018277,7,0,9,"45,330,210", 56.75%
2018-10-10,2018276,2,6,1,"47,437,936", 50.30%
2018-10-09,2018275,2,6,4,"46,271,394", 77.81%
2018-10-08,2018274,5,5,7,"47,885,094", 49.71%
2018-10-07,2018273,4,5,7,"46,582,144", 73.74%
2018-10-06,2018272,0,8,5,"47,254,316", 61.99%
2018-10-05,2018271,5,3,6,"45,584,112", 93.72%
2018-10-04,2018270,3,4,9,"44,885,460", 70.47%
2018-10-03,2018269,6,5,9,"42,266,254", 81.64%
2018-10-02,2018268,7,2,8,"41,059,182", 72.51%
2018-10-01,2018267,0,0,1,"43,260,116", 46.66%
2018-09-30,2018266,6,2,1,"45,697,178", 74.74%
2018-09-29,2018265,6,4,8,"45,394,766", 48.00%
2018-09-28,2018264,0,0,4,"49,609,780", 35.77%
2018-09-27,2018263,8,1,3,"46,611,318", 79.25%
2018-09-26,2018262,5,3,2,"46,754,282", 76.03%
2018-09-25,2018261,8,0,9,"44,781,452", 36.05%
2018-09-24,2018260,4,7,4,"40,286,210", 38.68%
2018-09-23,2018259,0,1,0,"42,384,134", 85.02%
2018-09-22,2018258,3,0,0,"45,980,922", 26.69%
2018-09-21,2018257,0,9,4,"48,206,964", 31.21%
2018-09-20,2018256,0,8,7,"48,589,652", 36.59%
2018-09-19,2018255,2,8,9,"47,384,190", 80.77%
2018-09-18,2018254,6,5,7,"46,776,648", 44.55%
2018-09-17,2018253,0,9,8,"46,658,928", 51.59%
2018-09-16,2018252,0,6,7,"45,284,128", 56.79%
2018-09-15,2018251,9,8,3,"43,988,158", 46.32%
2018-09-14,2018250,5,5,1,"46,197,436", 31.07%
2018-09-13,2018249,6,3,6,"47,014,968", 45.67%
2018-09-12,2018248,2,5,1,"46,427,864", 31.84%
2018-09-11,2018247,6,2,6,"49,268,332", 64.87%
2018-09-10,2018246,6,0,3,"48,898,272", 29.92%
2018-09-09,2018245,3,5,1,"47,285,980", 27.17%
2018-09-08,2018244,3,6,4,"45,944,558", 72.01%
2018-09-07,2018243,6,3,9,"47,919,246", 66.12%
2018-09-06,2018242,6,2,3,"45,836,780", 64.75%
2018-09-05,2018241,2,1,5,"46,480,160", 82.61%
2018-09-04,2018240,5,0,6,"45,306,558", 87.06%
2018-09-03,2018239,7,4,9,"43,538,284", 77.76%
2018-09-02,2018238,7,2,0,"43,203,216", 61.30%
2018-09-01,2018237,6,3,1,"44,229,016", 72.64%
2018-08-31,2018236,6,4,2,"44,562,086", 71.11%
2018-08-30,2018235,8,2,8,"45,302,886", 89.86%
2018-08-29,2018234,9,5,3,"44,403,396", 36.65%
2018-08-28,2018233,5,7,9,"43,915,580", 72.99%
2018-08-27,2018232,7,1,5,"42,542,528", 56.53%
2018-08-26,2018231,6,2,9,"41,225,566", 93.12%
2018-08-25,2018230,7,5,0,"40,651,648", 35.81%
2018-08-24,2018229,5,5,6,"43,128,470", 45.39%
2018-08-23,2018228,4,7,0,"41,053,530", 50.68%
2018-08-22,2018227,9,7,7,"42,071,822", 34.05%
2018-08-21,2018226,9,6,7,"42,673,804", 20.01%
2018-08-20,2018225,1,6,0,"40,579,728", 49.15%
2018-08-19,2018224,0,3,0,"41,312,366", 20.22%
2018-08-18,2018223,4,9,9,"44,201,974", 56.25%
2018-08-17,2018222,1,7,3,"45,577,480", 49.63%
2018-08-16,2018221,0,1,4,"45,123,564", 
2018-08-15,2018220,6,4,8,"44,456,996", 59.69%
2018-08-14,2018219,3,9,1,"43,250,378", 44.19%
2018-08-13,2018218,6,9,7,"44,869,418", 41.01%
2018-08-12,2018217,5,8,7,"43,513,142", 41.94%
2018-08-11,2018216,8,2,1,"43,776,598", 34.60%
2018-08-10,2018215,4,2,5,"44,498,222", 39.44%
2018-08-09,2018214,8,8,1,"44,601,264", 65.61%
2018-08-08,2018213,2,0,3,"46,344,146", 31.69%
2018-08-07,2018212,5,7,8,"45,238,900", 66.34%
2018-08-06,2018211,6,2,8,"44,967,340", 67.58%
2018-08-05,2018210,8,2,9,"43,118,678", 66.03%
2018-08-04,2018209,9,5,0,"42,838,658", 28.67%
2018-08-03,2018208,4,5,2,"44,688,602", 38.60%
2018-08-02,2018207,7,5,6,"44,537,572", 48.11%
2018-08-01,2018206,6,2,6,"46,483,098", 68.24%
2018-07-31,2018205,4,1,8,"44,163,050", 57.79%
2018-07-30,2018204,0,4,2,"46,271,362", 23.02%
2018-07-29,2018203,0,4,5,"45,064,842", 37.26%
2018-07-28,2018202,6,1,4,"45,225,790", 36.95%
2018-07-27,2018201,6,1,5,"47,365,472", 49.09%
2018-07-26,2018200,3,5,0,"45,528,166", 20.98%
2018-07-25,2018199,5,1,0,"47,185,914", 12.85%
2018-07-24,2018198,3,7,9,"44,710,690", 56.56%
2018-07-23,2018197,1,5,0,"43,907,342", 44.28%
2018-07-22,2018196,0,0,5,"46,401,818", 26.25%
2018-07-21,2018195,7,3,6,"46,324,112", 57.75%
2018-07-20,2018194,3,7,5,"46,948,712", 68.54%
2018-07-19,2018193,0,6,1,"46,602,346", 22.59%
2018-07-18,2018192,8,9,3,"45,513,230", 58.73%
2018-07-17,2018191,5,0,3,"45,734,044", 38.36%
2018-07-16,2018190,5,5,6,"46,783,260", 110.82%
2018-07-15,2018189,7,6,0,"45,878,570", 33.61%
2018-07-14,2018188,0,4,8,"45,618,312", 21.01%
2018-07-13,2018187,8,0,7,"47,770,364", 68.07%
2018-07-12,2018186,1,4,1,"47,783,056", 53.17%
2018-07-11,2018185,5,7,0,"49,038,240", 31.95%
2018-07-10,2018184,4,7,3,"48,482,166", 44.08%
2018-07-09,2018183,3,5,9,"49,272,544", 44.36%
2018-07-08,2018182,3,2,9,"48,685,566", 42.69%
2018-07-07,2018181,4,9,8,"46,897,816", 67.29%
2018-07-06,2018180,7,6,1,"48,704,002", 66.23%
2018-07-05,2018179,7,2,4,"46,947,538", 115.31%
2018-07-04,2018178,3,3,6,"46,406,364", 34.82%
2018-07-03,2018177,1,0,2,"47,860,236", 45.72%
2018-07-02,2018176,2,3,5,"46,068,100", 90.03%
2018-07-01,2018175,3,3,8,"45,327,534", 99.82%
2018-06-30,2018174,8,8,6,"46,454,328", 76.13%
2018-06-29,2018173,4,6,3,"48,874,394", 56.57%
2018-06-28,2018172,5,1,3,"45,987,140", 29.26%
2018-06-27,2018171,8,1,9,"46,137,868", 52.02%
2018-06-26,2018170,1,1,7,"48,007,958", 55.51%
2018-06-25,2018169,5,3,0,"48,197,198", 83.56%
2018-06-24,2018168,1,7,4,"48,087,722", 67.17%
2018-06-23,2018167,4,8,9,"46,318,710", 42.42%
2018-06-22,2018166,9,4,1,"48,967,350", 48.41%
2018-06-21,2018165,9,0,2,"48,986,916", 45.98%
2018-06-20,2018164,1,5,7,"48,948,196", 37.15%
2018-06-19,2018163,8,6,9,"46,712,686", 52.77%
2018-06-18,2018162,1,3,7,"44,073,142", 58.56%
2018-06-17,2018161,7,9,4,"43,079,102", 94.20%
2018-06-16,2018160,4,7,7,"43,657,556", 47.66%
2018-06-15,2018159,3,4,0,"46,328,144", 25.01%
2018-06-14,2018158,3,6,3,"44,828,746", 41.59%
2018-06-13,2018157,0,2,2,"48,554,614", 30.15%
2018-06-12,2018156,3,2,4,"48,057,174", 46.72%
2018-06-11,2018155,2,8,9,"48,129,060", 36.19%
2018-06-10,2018154,6,6,9,"48,348,210", 48.58%
2018-06-09,2018153,3,2,9,"47,757,520", 34.64%
2018-06-08,2018152,2,5,8,"48,942,858", 130.05%
2018-06-07,2018151,5,1,4,"48,027,364", 95.42%
2018-06-06,2018150,3,3,5,"47,316,278", 55.95%
2018-06-05,2018149,9,2,3,"47,130,974", 71.55%
2018-06-04,2018148,0,8,7,"48,138,948", 30.98%
2018-06-03,2018147,6,3,6,"48,441,372", 62.91%
2018-06-02,2018146,5,6,9,"45,467,016", 104.77%
2018-06-01,2018145,3,8,6,"46,493,152", 122.82%
2018-05-31,2018144,0,9,1,"45,927,288", 41.82%
2018-05-30,2018143,4,5,4,"48,253,118", 75.56%
2018-05-29,2018142,9,3,7,"49,494,282", 30.14%
2018-05-28,2018141,5,3,6,"48,190,526", 55.35%
2018-05-27,2018140,1,3,3,"46,425,088", 51.93%
2018-05-26,2018139,4,4,7,"48,350,178", 42.06%
2018-05-25,2018138,0,6,8,"50,938,294", 52.32%
2018-05-24,2018137,5,3,7,"47,790,478", 82.22%
2018-05-23,2018136,6,4,3,"46,704,298", 27.71%
2018-05-22,2018135,6,9,8,"48,342,720", 28.72%
2018-05-21,2018134,6,1,7,"47,939,342", 47.36%
2018-05-20,2018133,6,9,1,"47,275,258", 98.02%
2018-05-19,2018132,9,6,6,"45,479,802", 46.65%
2018-05-18,2018131,2,9,7,"48,882,014", 43.51%
2018-05-17,2018130,2,4,5,"46,512,902", 88.14%
2018-05-16,2018129,3,5,6,"44,772,220", 61.56%
2018-05-15,2018128,0,3,3,"44,064,578", 40.94%
2018-05-14,2018127,0,2,0,"48,463,534", 28.50%
2018-05-13,2018126,3,6,1,"45,676,000", 76.42%
2018-05-12,2018125,8,3,2,"46,026,868", 69.09%
2018-05-11,2018124,6,8,9,"47,955,774", 49.25%
2018-05-10,2018123,9,0,6,"46,637,562", 41.55%
2018-05-09,2018122,1,8,1,"47,378,670", 69.64%
2018-05-08,2018121,7,6,1,"45,733,084", 64.28%
2018-05-07,2018120,4,9,8,"43,943,536", 44.69%
2018-05-06,2018119,9,7,8,"44,600,704", 33.96%
2018-05-05,2018118,9,3,0,"44,056,638", 19.61%
2018-05-04,2018117,0,4,3,"44,688,152", 21.81%
2018-05-03,2018116,0,0,3,"43,473,700", 25.19%
2018-05-02,2018115,9,9,9,"46,596,912", 161.41%
2018-05-01,2018114,4,4,1,"45,690,776", 41.29%
2018-04-30,2018113,6,1,5,"44,711,840", 60.91%
2018-04-29,2018112,9,5,5,"45,675,910", 54.48%
2018-04-28,2018111,7,2,0,"48,311,568", 21.23%
2018-04-27,2018110,9,4,0,"50,531,496", 43.64%
2018-04-26,2018109,2,1,8,"48,240,536", 84.73%
2018-04-25,2018108,6,9,2,"47,508,212", 51.78%
2018-04-24,2018107,6,6,3,"46,338,292", 125.21%
2018-04-23,2018106,3,3,6,"46,697,734", 47.48%
2018-04-22,2018105,8,4,7,"45,124,358", 48.39%
2018-04-21,2018104,7,1,7,"41,655,810", 58.16%
2018-04-20,2018103,2,2,2,"49,318,644", 159.24%
2018-04-19,2018102,5,7,3,"46,869,148", 66.07%
2018-04-18,2018101,3,4,5,"45,587,818", 82.63%
2018-04-17,2018100,2,7,0,"46,005,682", 28.69%
2018-04-16,2018099,9,1,9,"45,221,064", 87.81%
2018-04-15,2018098,6,6,5,"46,160,176", 59.76%
2018-04-14,2018097,0,3,8,"44,492,858", 46.82%
2018-04-13,2018096,2,4,3,"47,563,804", 36.05%
2018-04-12,2018095,2,4,1,"47,171,954", 27.92%
2018-04-11,2018094,1,3,6,"45,939,196", 60.86%
2018-04-10,2018093,2,0,9,"45,341,800", 33.62%
2018-04-09,2018092,2,3,1,"45,128,988", 39.49%
2018-04-08,2018091,1,0,2,"47,561,388", 28.79%
2018-04-07,2018090,6,7,1,"45,703,498", 48.37%
2018-04-06,2018089,6,6,8,"44,208,102", 85.34%
2018-04-05,2018088,0,9,9,"44,623,164", 51.07%
2018-04-04,2018087,5,1,3,"47,196,302", 40.62%
2018-04-03,2018086,1,8,6,"47,441,654", 41.13%
2018-04-02,2018085,9,0,3,"50,198,870", 32.51%
2018-04-01,2018084,5,1,9,"47,774,304", 67.61%
2018-03-31,2018083,2,6,6,"47,751,736", 41.55%
2018-03-30,2018082,5,4,9,"51,913,686", 45.45%
2018-03-29,2018081,7,5,8,"49,750,588", 83.91%
2018-03-28,2018080,8,7,9,"49,797,060", 63.86%
2018-03-27,2018079,3,6,9,"46,621,876", 147.17%
2018-03-26,2018078,6,1,6,"47,923,616", 93.13%
2018-03-25,2018077,2,4,6,"47,961,462", 60.76%
2018-03-24,2018076,7,8,5,"45,545,204", 50.71%
2018-03-23,2018075,8,6,1,"47,824,422", 38.37%
2018-03-22,2018074,8,1,5,"46,576,900", 46.17%
2018-03-21,2018073,2,7,5,"46,218,088", 39.59%
2018-03-20,2018072,4,7,3,"46,875,830", 45.81%
2018-03-19,2018071,7,7,9,"45,253,654", 33.25%
2018-03-18,2018070,5,6,7,"44,008,802", 102.86%
2018-03-17,2018069,1,1,9,"44,070,860", 74.75%
2018-03-16,2018068,4,4,8,"47,386,764", 39.56%
2018-03-15,2018067,8,5,8,"46,278,596", 40.93%
2018-03-14,2018066,0,9,5,"47,555,650", 31.96%
2018-03-13,2018065,8,4,8,"47,186,352", 57.82%
2018-03-12,2018064,3,3,9,"48,205,822", 51.44%
2018-03-11,2018063,6,1,3,"46,520,988", 62.45%
2018-03-10,2018062,7,9,2,"44,589,900", 33.74%
2018-03-09,2018061,5,2,5,"46,719,902", 54.12%
2018-03-08,2018060,7,6,7,"46,477,714", 42.25%
2018-03-07,2018059,9,4,7,"47,146,198", 28.78%
2018-03-06,2018058,7,2,3,"45,436,898", 56.69%
2018-03-05,2018057,9,7,7,"47,393,740", 60.25%
2018-03-04,2018056,9,0,8,"45,921,966", 51.84%
2018-03-03,2018055,1,6,0,"45,074,496", 52.86%
2018-03-02,2018054,3,2,5,"45,457,814", 64.53%
2018-03-01,2018053,1,5,4,"45,993,444", 55.12%
2018-02-28,2018052,3,6,9,"44,879,062", 83.40%
2018-02-27,2018051,6,2,0,"45,102,720", 41.96%
2018-02-26,2018050,8,7,5,"43,719,032", 80.50%
2018-02-25,2018049,5,4,1,"41,675,858", 41.98%
2018-02-24,2018048,6,9,3,"39,632,498", 74.10%
2018-02-23,2018047,5,5,8,"39,530,466", 66.24%
2018-02-22,2018046,3,4,7,"36,418,904", 67.14%
2018-02-14,2018045,2,0,3,"41,689,550", 37.36%
2018-02-13,2018044,9,0,2,"45,646,112", 78.54%
2018-02-12,2018043,5,2,7,"44,812,116", 113.35%
2018-02-11,2018042,1,3,1,"46,484,892", 37.09%
2018-02-10,2018041,6,5,1,"47,306,102", 28.12%
2018-02-09,2018040,6,8,4,"48,529,764", 44.19%
2018-02-08,2018039,7,0,6,"47,545,878", 43.88%
2018-02-07,2018038,8,5,9,"45,667,958", 63.88%
2018-02-06,2018037,6,9,5,"45,296,160", 34.87%
2018-02-05,2018036,3,6,5,"44,937,402", 66.15%
2018-02-04,2018035,8,5,6,"43,785,694", 43.73%
2018-02-03,2018034,6,7,6,"43,880,072", 63.93%
2018-02-02,2018033,7,6,7,"48,357,268", 40.75%
